Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,479993,488650,497783,506953,518347,530946,543360,556319,569676,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,359735,431907,493022,507274,521405,534626,546682,557763,568056,577914,587606,..
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1996227,2012051,2051427,2055266,2058920,2062443,2065888,2069270,2072543,2075625,2078453,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,11545782,15744811,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,24235390,..
"Population, total",SP.POP.TOTL,Malawi,MWI,9408998,11193230,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,17215232,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,18211097,23420751,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,30331007,..
"Population, total",SP.POP.TOTL,Maldives,MDV,218000,286000,349000,362000,360000,367000,377000,385000,393000,401000,409163,..
"Population, total",SP.POP.TOTL,Mali,MLI,8482075,11046926,13759226,14223403,14694565,15167286,15639115,16112333,16592097,17086022,17599694,..
"Population, total",SP.POP.TOTL,Malta,MLT,354170,381363,406724,409379,412477,414508,416268,419455,423374,427364,431333,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47300,52161,52136,52221,52321,52428,52541,52663,52786,52898,52993,..
"Population, total",SP.POP.TOTL,Mauritania,MRT,2023665,2711421,3328285,3414552,3501927,3591400,3683221,3777067,3872684,3969625,4067564,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,..
"Population, total",SP.POP.TOTL,Mexico,MEX,85609404,102808590,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,127017224,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,96331,107430,105080,104472,103961,103619,103476,103516,103718,104044,104460,..
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3639592,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554150,..
"Population, total",SP.POP.TOTL,Monaco,MCO,29438,32081,35046,35731,36351,36845,37189,37404,37528,37623,37731,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,2184145,2397438,2592776,2629666,2669572,2712657,2759074,2808339,2859174,2909871,2959134,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,615875,616969,618294,619428,620079,620601,621207,621810,622388,..
"Population, total",SP.POP.TOTL,Morocco,MAR,24950128,28950553,31011322,31350544,31714958,32107739,32531964,32984190,33452686,33921203,34377511,..
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13371971,18264536,22359637,22994867,23647815,24321457,25016921,25732928,26467180,27216276,27977863,..
"Population, total",SP.POP.TOTL,Myanmar,MMR,42007309,47669791,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,53897154,..
"Population, total",SP.POP.TOTL,Namibia,NAM,1415447,1897953,2083174,2115703,2152357,2193643,2240161,2291645,2346592,2402858,2458830,..
"Population, total",SP.POP.TOTL,Nauru,NRU,9157,10042,10075,10047,10028,10025,10043,10079,10125,10176,10222,..
"Population, total",SP.POP.TOTL,Nepal,NPL,18741688,23740145,26063619,26325183,26592666,26875910,27179237,27500515,27834981,28174724,28513700,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16936520,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,213230,238000,242000,245000,250000,254000,259000,263000,268000,273000,..
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,..
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4144564,5026792,5522119,5594524,5666595,5737722,5807787,5877034,5945646,6013913,6082032,..
"Population, total",SP.POP.TOTL,Niger,NER,7911884,11224523,14527631,15085130,15672194,16291990,16946485,17635782,18358863,19113728,19899120,..
"Population, total",SP.POP.TOTL,Nigeria,NGA,95617345,122876723,147152502,151115683,155207145,159424742,163770669,168240403,172816517,177475986,182201962,..
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,43972,68434,59791,57343,55276,53860,53234,53314,53869,54541,55070,..
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5195921,..
"Population, total",SP.POP.TOTL,Oman,OMN,1812159,2239403,2593750,2652281,2762073,2943747,3210003,3545192,3906912,4236057,4490541,..
"Population, total",SP.POP.TOTL,Pakistan,PAK,107607639,138250487,159767672,163096985,166520983,170043918,173669648,177392252,181192646,185044286,188924874,..
"Population, total",SP.POP.TOTL,Palau,PLW,15089,19174,20118,20227,20344,20470,20606,20756,20919,21097,21291,..
"Population, total",SP.POP.TOTL,Panama,PAN,2471010,3028751,3438398,3498679,3559401,3620506,3681979,3743761,3805683,3867535,3929141,..
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4157903,5374051,6387470,6540267,6693799,6847517,7001172,7154870,7308864,7463577,7619321,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,4213740,5302703,5966160,6047131,6127847,6209877,6293763,6379162,6465669,6552518,6639123,..
"Population, total",SP.POP.TOTL,Peru,PER,21826658,25914875,28292768,28642048,29001563,29373644,29759891,30158768,30565461,30973148,31376670,..
"Population, total",SP.POP.TOTL,Philippines,PHL,61947340,77932247,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,100699395,..
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37999494,..
